Vendor,Batch,Assay_Plate_Barcode,sphering,dropout,value_95_replicating,Percent_Replicating,Plate_Map_Name,Modality,Images_per_well,Sites-SubSampled,Binning,Magnification,Number_of_channels,z_plane,BF_Zplanes,spinning-disc,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,sites,Size_MB,Size_MB_std,channel_names,brightfield_z_plane_used,feature_channels_found,num_features,n_columns,Percent_Matching,value_95_matching,cell_count
MolDev,Scope1_MolDev_10X,Plate2_PCO_6ch_4site_10XPA,True,(),0.19190831200170205,60.0,JUMP-MOA_compound_platemap,Confocal,4,,1,10,6,1,,no,0.45,dry,,,4,52.47633350846427,0.0001442278122525,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",374,4355,25.581395348837212,0.2755516702503356,2014937
MolDev,Scope1_MolDev_10X,Plate2_PCO_6ch_4site_10XPA,True,"('RNA',)",0.18049805207459446,61.111111111111114,JUMP-MOA_compound_platemap,Confocal,4,,1,10,6,1,,no,0.45,dry,,,4,52.47633350846427,0.0001442278122525,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",322,3590,23.25581395348837,0.27549915592826646,2014937
MolDev,Scope1_MolDev_10X,Plate3_PCO_6ch_4site_10XPA_Crest,True,(),0.27282227631208483,61.111111111111114,JUMP-MOA_compound_platemap,Confocal,4,,1,10,6,1,,yes,0.45,dry,,,4,52.47651426861264,0.0001832662332974,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",432,4355,18.6046511627907,0.4063829715066396,2413350
MolDev,Scope1_MolDev_10X,Plate3_PCO_6ch_4site_10XPA_Crest,True,"('RNA',)",0.2797880007459158,60.0,JUMP-MOA_compound_platemap,Confocal,4,,1,10,6,1,,yes,0.45,dry,,,4,52.47651426861264,0.0001832662332974,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",369,3590,18.6046511627907,0.4267280139995402,2413350
MolDev,Scope1_MolDev_10X_4siteZ,Plate3_PCO_6ch_4site_10XPA_Crestz,True,(),0.20527798784114637,66.66666666666666,JUMP-MOA_compound_platemap,Confocal,4,,1,10,6,3,,yes,0.45,dry,,,4,52.47663138845419,0.0001418825539195,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",411,4355,23.25581395348837,0.35300376793417915,2381443
MolDev,Scope1_MolDev_10X_4siteZ,Plate3_PCO_6ch_4site_10XPA_Crestz,True,"('RNA',)",0.2100492340613282,67.77777777777779,JUMP-MOA_compound_platemap,Confocal,4,,1,10,6,3,,yes,0.45,dry,,,4,52.47663138845419,0.0001418825539195,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",349,3590,23.25581395348837,0.3820346002555278,2381443
MolDev,Scope1_MolDev_20X_4site,Plate3_PCO_6ch_4site_20XPA_Crestz,True,(),0.18262996476145682,57.77777777777777,JUMP-MOA_compound_platemap,Confocal,4,,1,20,6,3,,yes,0.75,dry,,,4,52.476629335720496,0.0001144565992287,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",446,4355,18.6046511627907,0.28245772157093024,527841
MolDev,Scope1_MolDev_20X_4site,Plate3_PCO_6ch_4site_20XPA_Crestz,True,"('RNA',)",0.18756959268862491,60.0,JUMP-MOA_compound_platemap,Confocal,4,,1,20,6,3,,yes,0.75,dry,,,4,52.476629335720496,0.0001144565992287,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",392,3590,18.6046511627907,0.2628865501545936,527841
MolDev,Scope1_MolDev_20X_9site,Plate2_PCO_6ch_9site_20XPA,True,(),0.1855384563396055,67.77777777777779,JUMP-MOA_compound_platemap,Confocal,9,,1,20,6,1,,no,0.75,dry,,,9,52.47633408863811,0.0001533901215815,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",430,4355,23.25581395348837,0.29932872314817616,1101611
MolDev,Scope1_MolDev_20X_9site,Plate2_PCO_6ch_9site_20XPA,True,"('RNA',)",0.1929176825480077,64.44444444444444,JUMP-MOA_compound_platemap,Confocal,9,,1,20,6,1,,no,0.75,dry,,,9,52.47633408863811,0.0001533901215815,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",359,3590,23.25581395348837,0.29679653182950866,1101611
MolDev,Scope1_MolDev_20X_9site,Plate3_PCO_6ch_9site_20XPA_Crest,True,(),0.3212938237196706,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,9,,1,20,6,1,,yes,0.75,dry,,,9,52.476410701871146,0.0001143807788651,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",418,4355,20.930232558139537,0.4631860194905296,1253387
MolDev,Scope1_MolDev_20X_9site,Plate3_PCO_6ch_9site_20XPA_Crest,True,"('RNA',)",0.33733947657298435,58.88888888888889,JUMP-MOA_compound_platemap,Confocal,9,,1,20,6,1,,yes,0.75,dry,,,9,52.476410701871146,0.0001143807788651,"Actin, DNA, ER, Golgi, Mito, RNA",,"Actin, DNA, ER, Golgi, Mito, RNA",367,3590,18.6046511627907,0.4859055438339443,1253387
Nikon,Scope1_Nikon_10X,BR00117060a10x,True,(),0.2277520003391714,42.22222222222222,JUMP-MOA_compound_platemap,Widefield,1,,1,10,4,1,,,0.45,dry,,,1,8.363558399999999,6.385515911347742,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",374,2821,16.27906976744186,0.35315722094098423,929255
Nikon,Scope1_Nikon_10X,BR00117060a10x,True,"('RNA',)",0.22619082100864574,42.22222222222222,JUMP-MOA_compound_platemap,Widefield,1,,1,10,4,1,,,0.45,dry,,,1,8.363558399999999,6.385515911347742,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",374,2821,16.27906976744186,0.3509311528341327,929255
Nikon,Scope1_Nikon_10X,BR00117061a10x,True,(),0.22082690545744957,54.54545454545454,JUMP-MOA_compound_platemap,Widefield,1,,1,10,4,1,,,0.45,dry,,,1,8.363558399999999,6.385515911347742,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",376,2821,19.51219512195122,0.3146715679972022,938495
Nikon,Scope1_Nikon_10X,BR00117061a10x,True,"('RNA',)",0.2285946084770926,54.54545454545454,JUMP-MOA_compound_platemap,Widefield,1,,1,10,4,1,,,0.45,dry,,,1,8.363558399999999,6.385515911347742,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",376,2821,19.51219512195122,0.3105365403069381,938495
Nikon,Scope1_Nikon_10X,BR00117062a10x,True,(),0.23185136049058344,40.0,JUMP-MOA_compound_platemap,Widefield,1,,1,10,4,1,,,0.45,dry,,,1,8.367766061747778,6.406564857926455,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",376,2821,16.27906976744186,0.3253210805802369,925656
Nikon,Scope1_Nikon_10X,BR00117062a10x,True,"('RNA',)",0.23287666370412533,40.0,JUMP-MOA_compound_platemap,Widefield,1,,1,10,4,1,,,0.45,dry,,,1,8.367766061747778,6.406564857926455,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",376,2821,16.27906976744186,0.3199605408614114,925656
Nikon,Scope1_Nikon_10X,BR00117063b10x,True,(),0.20358568244893055,44.9438202247191,JUMP-MOA_compound_platemap,Widefield,1,,1,10,4,1,,,0.45,dry,,,1,8.363558399999999,6.385515911347742,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",380,2821,16.666666666666664,0.32464774260740525,910533
Nikon,Scope1_Nikon_10X,BR00117063b10x,True,"('RNA',)",0.20065058722405166,46.06741573033708,JUMP-MOA_compound_platemap,Widefield,1,,1,10,4,1,,,0.45,dry,,,1,8.363558399999999,6.385515911347742,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",380,2821,16.666666666666664,0.3170386747516969,910533
Nikon,Scope1_Nikon_20X,BR00117061a,True,(),0.24391474423155599,65.55555555555556,JUMP-MOA_compound_platemap,Widefield,9,,1,20,4,1,,,0.75,dry,,,9,9.872705523809524,27.71715325897701,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",365,2821,20.930232558139537,0.4249614274326055,2330204
Nikon,Scope1_Nikon_20X,BR00117061a,True,"('RNA',)",0.24265134578424494,65.55555555555556,JUMP-MOA_compound_platemap,Widefield,9,,1,20,4,1,,,0.75,dry,,,9,9.872705523809524,27.71715325897701,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",365,2821,23.25581395348837,0.39649595731543075,2330204
Nikon,Scope1_Nikon_20X,BR00117062a,True,(),0.22991615440803617,55.55555555555556,JUMP-MOA_compound_platemap,Widefield,9,,1,20,4,1,,,0.75,dry,,,9,9.874534885786955,27.72811646838089,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",395,2821,18.6046511627907,0.36018759706095094,2301607
Nikon,Scope1_Nikon_20X,BR00117062a,True,"('RNA',)",0.22901753903454444,55.55555555555556,JUMP-MOA_compound_platemap,Widefield,9,,1,20,4,1,,,0.75,dry,,,9,9.874534885786955,27.72811646838089,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",395,2821,18.6046511627907,0.3653353711915551,2301607
Nikon,Scope1_Nikon_20X,BR00117063b,True,(),0.31956649028179257,51.11111111111111,JUMP-MOA_compound_platemap,Widefield,9,,1,20,4,1,,,0.75,dry,,,9,9.873193142857142,27.72026359490857,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",398,2821,18.6046511627907,0.4742852847607976,2274867
Nikon,Scope1_Nikon_20X,BR00117063b,True,"('RNA',)",0.3096566422035482,51.11111111111111,JUMP-MOA_compound_platemap,Widefield,9,,1,20,4,1,,,0.75,dry,,,9,9.873193142857142,27.72026359490857,"AGP, DNA, ER, Mito",,"AGP, DNA, ER, Mito",398,2821,18.6046511627907,0.4661578179068877,2274867
