,Vendor,Batch,Assay_Plate_Barcode,sphering,Percent_Replicating,value_95_replicating,Plate_Map_Name,Modality,Images_per_well,Sites-SubSampled,Binning,Magnification,Number_of_channels,z_plane,BF_Zplanes,Anomaly,Unnamed: 0,spinning-disc,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,sites,Percent_Matching,value_95_matching,cell_count
0,MolDev,1siteSubSample_Scope1_MolDev_10X,Plate2_PCO_6ch_4site_10XPA,True,47.77777777777778,0.1342798323804142,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,10,6,1,,none,,,,,,,1.0,18.6046511627907,0.1725716842256816,511430
1,MolDev,1siteSubSample_Scope1_MolDev_10X,Plate2_PCO_6ch_4site_10XPA,False,17.77777777777778,0.3893058017792297,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,10,6,1,,none,,,,,,,1.0,9.30232558139535,0.2324321063652799,511430
2,MolDev,1siteSubSample_Scope1_MolDev_10X,Plate3_PCO_6ch_4site_10XPA_Crest,True,56.66666666666666,0.1727267768792255,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,10,6,1,,none,,,,,,,1.0,18.6046511627907,0.2442857445452665,617546
3,MolDev,1siteSubSample_Scope1_MolDev_10X,Plate3_PCO_6ch_4site_10XPA_Crest,False,23.33333333333333,0.4863755183027814,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,10,6,1,,none,,,,,,,1.0,13.953488372093023,0.3594181059413017,617546
4,MolDev,1siteSubSample_Scope1_MolDev_10X_4siteZ,Plate3_PCO_6ch_4site_10XPA_Crestz,True,62.22222222222222,0.1718482939313608,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,10,6,1,,none,,,,,,,1.0,20.930232558139537,0.2767540165825174,608864
5,MolDev,1siteSubSample_Scope1_MolDev_10X_4siteZ,Plate3_PCO_6ch_4site_10XPA_Crestz,False,20.0,0.6724984196140927,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,10,6,1,,none,,,,,,,1.0,4.651162790697675,0.6775475471560529,608864
6,MolDev,1siteSubSample_Scope1_MolDev_20X_4site,Plate3_PCO_6ch_4site_20XPA_Crestz,True,54.44444444444444,0.1523687440441975,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,20,6,1,,none,,,,,,,1.0,18.6046511627907,0.208124075511018,132155
7,MolDev,1siteSubSample_Scope1_MolDev_20X_4site,Plate3_PCO_6ch_4site_20XPA_Crestz,False,35.55555555555556,0.3162403859851161,JUMP-MOA_compound_platemap,Confocal,4,1.0,1,20,6,1,,none,,,,,,,1.0,18.6046511627907,0.3097787918405943,132155
8,MolDev,1siteSubSample_Scope1_MolDev_20X_9site,Plate2_PCO_6ch_9site_20XPA,True,51.11111111111111,0.1799952913620562,JUMP-MOA_compound_platemap,Confocal,9,1.0,1,20,6,1,,none,,,,,,,1.0,13.953488372093023,0.2123308527808627,137083
9,MolDev,1siteSubSample_Scope1_MolDev_20X_9site,Plate2_PCO_6ch_9site_20XPA,False,25.555555555555557,0.4106268563025836,JUMP-MOA_compound_platemap,Confocal,9,1.0,1,20,6,1,,none,,,,,,,1.0,9.30232558139535,0.2344494450107594,137083
