Percent_Score,Vendor,Modality,Binning,Magnification,aperture,Number_of_channels,z_plane,dry-immersion,Percent_Score,channel_names,sites
100.0,PE,Widefield,2,20,1.0,5,1,water,100.0,"DNA, ER, Mito, RNA, WGPhalloidin",3
100.0,PE,Widefield,1,20,1.0,5,1,water,100.0,"DNA, ER, Mito, RNA, WGPhalloidin",3
99.8,PE,Confocal,2,20,1.0,5,3,water,99.8,"AGP, DNA, ER, Mito, RNA",3
97.4,PE,Widefield,1,20,1.0,5,1,water,97.4,"DNA, ER, Mito, RNA, WGPhalloidin",3
97.3,PE,Confocal,2,20,1.0,5,1,water,97.3,"DNA, ER, Mito, RNA, WGPhalloidin",3
97.3,PE,Confocal,2,20,1.0,5,1,water,97.3,"DNA, ER, Mito, RNA, WGPhalloidin",3
97.2,PE,Widefield,2,20,1.0,5,3,water,97.2,"DNA, ER, Mito, RNA, WGPhalloidin",3
96.1,PE,Widefield,2,20,1.0,5,1,water,96.1,"DNA, ER, Mito, RNA, WGPhalloidin",3
96.0,PE,Confocal,2,20,1.0,5,1,water,96.0,"DNA, ER, Mito, RNA, WGPhalloidin",3
96.0,PE,Confocal,2,20,1.0,5,3,water,96.0,"AGP, DNA, ER, Mito, RNA",3
95.9,PE,Widefield,1,20,1.0,5,3,water,95.9,"DNA, ER, Mito, RNA, WGPhalloidin",3
94.7,PE,Confocal,1,20,1.0,5,3,water,94.7,"DNA, ER, Mito, RNA, WGPhalloidin",3
94.7,PE,Widefield,1,20,1.0,5,3,water,94.7,"DNA, ER, Mito, RNA, WGPhalloidin",3
94.7,PE,Confocal,1,20,1.0,5,3,water,94.7,"DNA, ER, Mito, RNA, WGPhalloidin",3
94.6,PE,Confocal,2,20,1.0,5,3,water,94.6,"AGP, DNA, ER, Mito, RNA",3
93.4,PE,Confocal,1,20,1.0,5,1,water,93.4,"DNA, ER, Mito, RNA, WGPhalloidin",3
93.3,PE,Widefield,2,20,1.0,5,1,water,93.3,"DNA, ER, Mito, RNA, WGPhalloidin",3
93.3,PE,Confocal,1,20,1.0,5,3,water,93.3,"DNA, ER, Mito, RNA, WGPhalloidin",3
93.3,PE,Widefield,1,20,1.0,5,1,water,93.3,"DNA, ER, Mito, RNA, WGPhalloidin",3
93.3,PE,Widefield,2,20,1.0,5,3,water,93.3,"AGP, DNA, ER, Mito, RNA",3
93.3,PE,Widefield,2,20,1.0,5,3,water,93.3,"DNA, ER, Mito, RNA, WGPhalloidin",3
92.1,PE,Confocal,2,20,1.0,5,1,water,92.1,"DNA, ER, Mito, RNA, WGPhalloidin",3
92.1,PE,Widefield,2,20,1.0,5,3,water,92.1,"DNA, ER, Mito, RNA, WGPhalloidin",3
92.0,PE,Confocal,1,20,1.0,5,1,water,92.0,"DNA, ER, Mito, RNA, WGPhalloidin",3
92.0,PE,Widefield,1,20,1.0,5,3,water,92.0,"DNA, ER, Mito, RNA, WGPhalloidin",3
90.5,PE,Widefield,1,20,1.0,5,1,water,90.5,"DNA, ER, Mito, RNA, WGPhalloidin",3
90.5,PE,Widefield,1,20,1.0,5,3,water,90.5,"DNA, ER, Mito, RNA, WGPhalloidin",3
90.4,PE,Confocal,1,20,1.0,5,1,water,90.4,"DNA, ER, Mito, RNA, WGPhalloidin",3
89.5,PE,Confocal,1,20,1.0,5,1,water,89.5,"DNA, ER, Mito, RNA, WGPhalloidin",3
89.3,PE,Confocal,1,20,1.0,5,3,water,89.3,"DNA, ER, Mito, RNA, WGPhalloidin",3
88.0,PE,Widefield,2,20,1.0,5,1,water,88.0,"DNA, ER, Mito, RNA, WGPhalloidin",3
87.8,PE,Confocal,2,20,1.0,5,3,water,87.8,"DNA, ER, Mito, RNA, WGPhalloidin",3
86.7,PE,Confocal,2,20,1.0,5,3,water,86.7,"AGP, DNA, ER, Mito, RNA",3
