Vendor	Batch	FoV_Batch	Plate_Map_Name	Assay_Plate_Barcode	Modality	Images_per_well	Sites-SubSampled	Binning	Magnification	Number_of_channels	z_plane	BF_Zplanes	Anomaly
MolDev	Scope1_MolDev_10X	1siteSubSample_Scope1_MolDev_10X	JUMP-MOA_compound_platemap	Plate2_PCO_6ch_4site_10XPA	Confocal	4	1	1	10	6	1		none
MolDev	Scope1_MolDev_10X	1siteSubSample_Scope1_MolDev_10X	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_10XPA_Crest	Confocal	4	1	1	10	6	1		none
MolDev	Scope1_MolDev_10X_4siteZ	1siteSubSample_Scope1_MolDev_10X_4siteZ	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_10XPA_Crestz	Confocal	4	1	1	10	6	1		none
MolDev	Scope1_MolDev_20X_4site	1siteSubSample_Scope1_MolDev_20X_4site	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_4site_20XPA_Crestz	Confocal	4	1	1	20	6	1		none
MolDev	Scope1_MolDev_20X_9site	1siteSubSample_Scope1_MolDev_20X_9site	JUMP-MOA_compound_platemap	Plate2_PCO_6ch_9site_20XPA	Confocal	9	1	1	20	6	1		none
MolDev	Scope1_MolDev_20X_9site	1siteSubSample_Scope1_MolDev_20X_9site	JUMP-MOA_compound_platemap	Plate3_PCO_6ch_9site_20XPA_Crest	Confocal	9	1	1	20	6	1		none
Nikon	Scope1_Nikon_20X	1siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117061a	Widefield	9	1	1	20	4	3		none
Nikon	Scope1_Nikon_20X	1siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117062a	Widefield	9	1	1	20	4	3		none
Nikon	Scope1_Nikon_20X	1siteSubSample_Scope1_Nikon_20X	JUMP-MOA_compound_platemap	BR00117063b	Widefield	9	1	1	20	4	3		none
PE	Scope1_PE_Bin1_Confocal_1Plane	1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P1	Confocal	3	1	1	20	5	3		none
PE	Scope1_PE_Bin1_Confocal_1Plane	1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P2	Confocal	3	1	1	20	5	3		none
PE	Scope1_PE_Bin1_Confocal_1Plane	1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P3	Confocal	3	1	1	20	5	3		none
PE	Scope1_PE_Bin1_Confocal_1Plane	1siteSubSample_Scope1_PE_Bin1_Confocal_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_1Plane_P4	Confocal	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Confocal_3Plane	1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P1	Confocal	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Confocal_3Plane	1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P2	Confocal	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Confocal_3Plane	1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P3	Confocal	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Confocal_3Plane	1siteSubSample_Scope1_PE_Bin1_Confocal_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_C_BIN1_P4	Confocal	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P1	Widefield	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P2	Widefield	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P3	Widefield	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_1Plane	1siteSubSample_Scope1_PE_Bin1_Widefield_1Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_1Plane_P4	Widefield	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_3Plane	1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P1	Widefield	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_3Plane	1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P2	Widefield	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_3Plane	1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P3	Widefield	3	1	1	20	5	1		none
PE	Scope1_PE_Bin1_Widefield_3Plane	1siteSubSample_Scope1_PE_Bin1_Widefield_3Plane	JUMP-MOA_compound_platemap	CP_Broad_Phenix_NC_BIN1_P4	Widefield	3	1	1	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_1Plane	1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP1	Confocal	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_1Plane	1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP2	Confocal	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_1Plane	1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP3	Confocal	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_1Plane	1siteSubSample_Scope1_PE_Bin2_Confocal_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixC1PlaneP4	Confocal	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_3Plane	1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP1	Confocal	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_3Plane	1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP2	Confocal	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_3Plane	1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP3	Confocal	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Confocal_3Plane	1siteSubSample_Scope1_PE_Bin2_Confocal_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixCP4	Confocal	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP1	Widefield	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP2	Widefield	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP3	Widefield	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_1Plane	1siteSubSample_Scope1_PE_Bin2_Widefield_1Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNC1PlaneP4	Widefield	3	1	2	20	5	1		none
PE	Scope1_PE_Bin2_Widefield_3Plane	1siteSubSample_Scope1_PE_Bin2_Widefield_3Plane	JUMP-MOA_compound_platemap	CPBroadPhenixNCP1	Widefield	3	1	2	20	5	1		none
