,Vendor,Batch,Plate_Map_Name,Assay_Plate_Barcode,Modality,spinning-disc,Binning,Magnification,aperture,dry-immersion,vs-brightfield,simultaneous-excitation,Number_of_channels,Images_per_well,z_plane,BF_Zplanes,Anomaly
0,MolDev,Scope1_MolDev_10X,JUMP-MOA_compound_platemap,Plate2_PCO_6ch_4site_10XPA,Confocal,no,1,10,0.45,,,,6,4,1,,none
1,MolDev,Scope1_MolDev_10X,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_4site_10XPA_Crest,Confocal,yes,1,10,0.45,,,,6,4,1,,none
2,MolDev,Scope1_MolDev_10X_4siteZ,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_4site_10XPA_Crestz,Confocal,yes,1,10,0.45,,,,6,4,3,,none
3,MolDev,Scope1_MolDev_20X_4site,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_4site_20XPA_Crestz,Confocal,yes,1,20,0.75,,,,6,4,3,,none
4,MolDev,Scope1_MolDev_20X_9site,JUMP-MOA_compound_platemap,Plate2_PCO_6ch_9site_20XPA,Confocal,no,1,20,0.75,,,,6,9,1,,none
5,MolDev,Scope1_MolDev_20X_9site,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_9site_20XPA_Crest,Confocal,yes,1,20,0.75,,,,6,9,1,,none
6,MolDev,Scope1_MolDev_20X_Adaptive,JUMP-MOA_compound_platemap,Plate3_PCO_6ch_Adaptive_20XPA,Confocal,yes,1,20,0.75,,,,6,3,1,,none
7,Nikon,Scope1_Nikon_10X,JUMP-MOA_compound_platemap,BR00117060a10x,Widefield,,1,10,0.45,,,,4,1,1,,none
8,Nikon,Scope1_Nikon_10X,JUMP-MOA_compound_platemap,BR00117061a10x,Widefield,,1,10,0.45,,,,4,1,1,,none
9,Nikon,Scope1_Nikon_10X,JUMP-MOA_compound_platemap,BR00117062a10x,Widefield,,1,10,0.45,,,,4,1,1,,none
10,Nikon,Scope1_Nikon_10X,JUMP-MOA_compound_platemap,BR00117063b10x,Widefield,,1,10,0.45,,,,4,1,1,,none
11,Nikon,Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117061a,Widefield,,1,20,0.75,,,,4,9,1,,none
12,Nikon,Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117062a,Widefield,,1,20,0.75,,,,4,9,1,,none
13,Nikon,Scope1_Nikon_20X,JUMP-MOA_compound_platemap,BR00117063b,Widefield,,1,20,0.75,,,,4,9,1,,none
14,PE,Scope1_PE_Bin1_Confocal_1Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_C_BIN1_1Plane_P1,Confocal,,1,20,1.0,water,,,5,3,1,,none
15,PE,Scope1_PE_Bin1_Confocal_1Plane,JUMP-MOA_compound_platemap,CP_Broad_Phenix_C_BIN1_1Plane_P2,Confocal,,1,20,1.0,water,,,5,3,1,,none
